"Date","Asset","Return"
2013-02-27,"Danske Invest Euro IG Corp Bd I",0.00488613
2013-02-27,"Wealth Invest HP Engros Korte Danske Obl",0.000945514
2013-02-27,"Gudme Raaschou European High Yield",0.000709388
2013-02-27,"Jyske Invest Højt Ratede Vrk.obl KL",0.0037484
2013-02-27,"Maj Invest Danske Obligationer",0.00339111
2013-02-27,"Maj Invest Vækstaktier",0.0116753
2013-02-27,"Nordea Invest Engros Corporate Bonds",0.00552591
2013-02-27,"Nordea Invest Danske Aktier Fokus KL 1",0.00175201
2013-02-27,"Nordea Invest Euro High Yield Bnd KL 1",0.000502849
2013-02-27,"Nordea Invest Korte Obl Lagerbe KL 1",0.00360899
2013-02-27,"Nykredit Alpha Mira",0.0134491
2013-02-27,"Nykredit Invest Engros DK Fokusaktier KL",0.003549
2013-02-27,"Nykredit Invest Ansvarlige Kreditobl.",0.00449905
2013-02-27,"Wealth Invest HP Invest Korte Danske Obl",0.000945514
2013-02-27,"iShares Gold Producers ETF USD Acc",0.0350472
2013-02-27,"Nordea Invest Danske Aktier Fokus KL 2",0.00175201
2013-02-27,"Nordea Invest Korte Obli Lagerbe KL 2",0.00360899
2013-02-27,"Nordea Invest Euro High Yield Bonds KL 2",0.000502849
2013-03-06,"BankInvest Korte Danske Obligationer W",0.000109421
2013-03-06,"BankInvest Korte Danske Obligationer A",0.000109421
2013-03-06,"BGF Swiss Small & MidCap Opps D2",0.0172294
2013-03-06,"BGF World Gold A2 HKD Hedged",-0.0447311
2013-03-06,"BGF World Gold A2",-0.0444576
2013-03-06,"BGF World Gold X2",-0.0438914
2013-03-06,"BGF World Gold D4",-0.0458694
2013-03-06,"BGF World Gold I2",-0.043952
2013-03-06,"BGF World Gold D2 SGD Hedged",-0.0515745
2013-03-06,"BGF Swiss Small & MidCap Opps A2",0.0170557
2013-03-06,"BGF World Gold D2",-0.0441805
2013-03-06,"BGF World Gold A4",-0.0444576
2013-03-06,"BSF European Unconstrained Eq I2 PF EUR",0.0209967
2013-03-06,"Danske Invest Alm Bol ML Obl Kl DKK W d",0.000194477
2013-03-06,"Danske Invest Danm In x OMXC20 DKK Wd",0.0163137
2013-03-06,"Danske Inv Euro IG CB Rst DKK Wd",0.00245027
2013-03-06,"Danske Invest Euro IG Obl KL DKK Wdh",0.00265684
